id,clause_type,src_legal,tgt_plain,notes
89,LIABILITY_CAP,"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, EXCEPT FOR (A) INDEMNIFICATION OBLIGATIONS OF A PARTY UNDER SECTION 6.1, (B) A BREACH OF SECTION 7 BY A PARTY OR (C) THE WILLFUL MISCONDUCT OR GROSS NEGLIGENCE OF A PARTY, NEITHER PARTY NOR ANY OF ITS AFFILIATES SHALL BE LIABLE TO THE OTHER PARTY OR ANY OF ITS AFFILIATES FOR ANY SPECIAL, PUNITIVE, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, LOST REVENUES OR PENALTIES ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",,
90,LICENSE_GRANT,"Subject to the terms of this Agreement, Exact on behalf of itself and its Affiliates, hereby grants to Pfizer a non-exclusive, royalty free license, with the right to sublicense to one or more of its Affiliates, under the Exact House Marks, the Exact Trademarks and the Exact Copyrights, during the Term, to the extent necessary or appropriate to allow Pfizer and its Affiliates to carry out activities under this Agreement including to Promote and Detail the Product in the Co-Promote Field in the Territory.",,
91,GOVERNING_LAW,"This Agreement and any and all matters arising directly or indirectly herefrom shall be governed by and construed and enforced in accordance with the internal laws of the [***] applicable to agreements made and to be performed entirely in such state, including its statutes of limitation but without giving effect to the conflict of law principles thereof.",,
92,TERMINATION,Either Party shall have the right to terminate this Agreement before the end of the Term for its convenience upon [***] written notice to the other Party (and any such termination shall become effective at the end of such [***]); [***].,,
93,GOVERNING_LAW,"This Agreement and all disputes arising out of or related to this Agreement or any breach hereof are governed by and construed under the Laws of the State of New York, without giving effect to any choice of law principles that would require the application of the Laws of a different state.",,
94,TERMINATION,"[""Notwithstanding any other provision of this Agreement, MMT may at any time terminate this Agreement on country-by-country basis, or in its entirety, upon [***] months' prior written notice to SIGA.""]",,
95,LICENSE_GRANT,"Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.",,
96,LIABILITY_CAP,"EXCEPT FOR IN THE EVENT OF WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, THE RESELLER AND ITS AFFILIATES SHALL NOT BE LIABLE TO THE COMPANY, AND SHALL HAVE NO OBLIGATION TO INDEMNIFY OR HOLD HARMLESS THE COMPANY, WITH RESPECT TO OR IN CONNECTION WITH ANY LOSS RESULTING FROM OR CAUSED BY THE COMPANY PRODUCTS.",,
97,LICENSE_GRANT,"Subject to the terms of this Agreement, Company grants Reseller the right to use and display the Company trademarks, tradenames and other designations of source, and proprietary notices, slogans, designs and distinct advertising as may appear on any documentation or other material with respect to Product (""Marks"") with prior approval, that will not be unreasonable withheld.",,
98,GOVERNING_LAW,"This Agreement shall be governed by the laws of the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County, New York; provided however that judgment shall be enforceable in any country and that nothing in this Section shall prevent or restrict either Party from seeking interim relief in any competent jurisdiction as it may deem fit.",,
99,ANTI_ASSIGNMENT,"Supplier and/or Reseller may assign or novate this Agreement and the rights and obligations under it to any of its affiliates or upon any merger or acquisition or the sale of all or substantially all of its assets relating to the Agreement.', 'Any purported assignment of rights in violation of this subsection is void.",,
100,LIABILITY_CAP,"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT SHALL SUPPLIER BE LIABLE UNDER, OR OTHERWISE IN CONNECTION WITH, THIS AGREEMENT FOR: (A) ANY CONSEQUENTIAL, INDIRECT, SPECIAL, INCIDENTAL, OR PUNITIVE DAMAGES; (B) ANY LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF REVENUE, OR LOSS OF ANTICIPATED SAVINGS; (C) ANY LOSS OF, OR DAMAGE TO, DATA, REPUTATION, OR GOODWILL; AND/OR (D) THE COST OF PROCURING ANY SUBSTITUTE GOODS OR SERVICES.', 'ANY SUBSTITUTE GOODS OR SERVICES. THE AGGREGATE LIABILITY OF SUPPLIER UNDER, OR IN CONNECTION WITH, THIS AGREEMENT SHALL BE EQUAL TO THE LESSER OF: (i) ***; AND (ii) ***.",,
101,LICENSE_GRANT,"In connection with the foregoing appointment, Supplier hereby grants Reseller a non-transferable, revocable, limited right to resell, market, promote, stimulate interest in, and solicit Orders by Customers and/or End Users in the Territory for the Products and to provide services in connection with those activities.",,
102,GOVERNING_LAW,"This Agreement shall be governed by, and construed and enforced in accordance with, the laws in force in the Province of Ontario (excluding any conflict of laws rule or principle which might refer such construction to the laws of another jurisdiction).",,
103,TERMINATION,"In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.",,
104,ANTI_ASSIGNMENT,"['CHT may use third parties to perform its foregoing rights, provided that any such third parties are not competitors of Ehave and shall be subject to confidentiality obligations.', ""Neither this Agreement nor any rights or obligations hereunder shall be assignable by a Party without the prior written consent of the other Party, provided that either Party shall have the right, on notice to but without the other Party's consent, to assign this Agreement and its rights and obligations contained herein, to an affiliate or to a third party who is not a competitor of the other Party in connection with a sale of all or substantially all of the assigning Party's business or assets relating to this Agreement.""]",,
105,LIABILITY_CAP,"['Further, subject to Section 17(c), neither Party shall not be liable to the other Party for any lost revenue, lost profit or lost savings.', 'Subject to Section 17(c), in no event shall either Party be liable to the other for any consequential, incidental, exemplary or punitive damages even if advised in advance of the possibility of such damages.', ""Subject to Section 17(c), in no event shall either Party's liability under this Agreement exceed the aggregate of all amounts paid under this Agreement and amounts that have accrued but not yet been paid in the twelve (12) months preceding the event giving rise to the claim.""]",,
106,ANTI_ASSIGNMENT,"Channel Partner may not assign the Agreement, the use of any Licensed Software or Services or its rights and obligations under the Agreement without the prior written consent of iPass.', 'Any such assignment is void.",,
107,ANTI_ASSIGNMENT,"[""Neither this Agreement nor any right or obligation hereunder may be assigned or otherwise transferred by either Party without the prior written consent of the other Party; provided, however, that each HOF Entity may, upon written notice to Constellation but without a requirement to obtain Constellation's consent, transfer, assign, convey, pledge or encumber, in whole or in part, any and all of its rights under this Agreement as security in connection with a loan transaction.""]",,
108,GOVERNING_LAW,"This Agreement shall be governed in all respects, including as to validity, interpretation and effect, by the Laws of the State of Illinois, without giving effect to its principles or rules of conflict of laws, to the extent such principles or rules are not mandatorily applicable by statute and would permit or require the application of the Laws of another jurisdiction.",,
109,TERMINATION,"[""Except as agreed by the Parties in writing or as otherwise stated in the Exhibits, Company may terminate for convenience any Transition Service, and RGHI may terminate for convenience any Reverse Transition Service, upon 30 days' prior written notice of such termination; provided, (a) that, with respect to the Services described in Section G1 of Exhibit A, unless otherwise indicated therein, those Services may not be terminated independently except in accordance with an agreed Migration Plan and, (b) any unamortized costs associated with Provider's purchase of any license or other costs incurred specifically for the purpose of providing the Services hereunder will be passed through to the Terminating Party.""]",,
110,LICENSE_GRANT,"Each Party grants, and shall cause its Affiliates to grant, to the other Party and its Affiliates, a royalty-free, non-exclusive, non- transferable, worldwide license, during the Term, to use the intellectual property owned by such Party or its Affiliates (but excluding any trademarks) only to the extent necessary for the other Party and its Affiliates to provide or receive the Services, as applicable.",,
111,GOVERNING_LAW,"THIS AGREEMENT, INCLUDING THE RIGHTS AND DUTIES OF THE PARTIES HERETO, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE INTERNAL LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, BUT WITHOUT REGARD TO ANY OTHERWISE APPLICABLE CONFLICTS OF LAW PRINCIPLES).",,
112,ANTI_ASSIGNMENT,"Except as stated in Sections 5.3, 7.4 and 7.6, this Agreement may not be assigned by the Depositor or the Servicer without the consent of the Owner Trustee, the Indenture Trustee, the Certificateholders and the Noteholders of at least 66-2/3% of the Note Balance of the Controlling Class.",,
113,LIABILITY_CAP,"[""The sole remedy of the Issuer, the Indenture Trustee, the Owner Trustee, and the Secured Parties for any extension, modification, amendment, cancellation or waiver of a Receivable or any terms thereof under Section 3.2(b) or a breach of the covenants made by the Servicer in Section 3.2(c) or (d) is the Servicer's acquisition of the Receivables, as described under this Section 3.3.""]",,
114,LICENSE_GRANT,"Subject to the terms and conditions of this Agreement, as part of the consideration of the full and timely payment of the Sponsor Fees, Club hereby grants to Sponsor, and Sponsor hereby accepts, solely in the Territory, and during the Term: (i) the right to use the Benefits set forth on Exhibit A and the license and right to use the Team Marks solely in connection with the advertisement and promotion of Sponsor\'s Dick\'s Wings and Grill branded restaurants (the ""Sponsor Business"") in accordance with this Agreement; and (ii) the right to use the designation ""Official Wings of the Jacksonville Jaguars"" and such other designations as Club and Sponsor may agree to in a writing from time to time (collectively, the ""Official Designations""), solely in connection with the Sponsor Business.",,
115,TERMINATION,Each Party may also terminate the Agreement for convenience after Contract Year 2<omitted>by providing written notice to the other Party at least sixty (60) calendar days prior to the effective date of such termination,,
116,LIABILITY_CAP,"EXCEPTING ONLY CLAIMS MADE PURSUANT TO SECTION 12.1, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES OF ANY KIND, INCLUDING ANY LOST PROFITS, LOST REVENUES OR LOST SAVINGS, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT AND/OR THE PRODUCTS, WHETHER IN CONTRACT, TORT, STRICT LIABILITY OR OTHERWISE, EVEN IF THE PARTY HAS BEEN ADVISED, KNOWS OR SHOULD KNOW, OR IS OTHERWISE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",,
117,LICENSE_GRANT,"['Allied grants Newegg a non-exclusive, royalty-free, non-assignable, non-transferable, and non- sublicensable worldwide license to use, publicly display, transmit, broadcast, stream, distribute and reproduce the Allied Marks in all approved forms and in manners for the purposes of this Agreement during the Term.', ""Newegg grants Allied a revocable, non-transferrable, non-assignable (whether voluntarily, or as a result of a change of control, or by operation of law), non-sublicensable, non-exclusive and limited license to use, during the Term, the Newegg Marks solely in connection with Allied's marketing and conduct of the Arena.""]",,
118,ANTI_ASSIGNMENT,"The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.', 'On either party assigning or attempting to assign this agreement without the prior written consent of the other party.', 'The Customer may not freely transfer or assign its rights or obligations under this agreement without the prior written consent of the Manufacturer.",,
119,GOVERNING_LAW,"This Agreement is subject to and shall be construed in accordance with the laws of the Commonwealth of Virginia with jurisdiction and venue in federal and Virginia courts in Alexandria and Arlington, Virginia.",,
120,GOVERNING_LAW,"This Agreement and all claims or causes of action arising out of or related to this Agreement shall be governed in all respects, including as to validity, interpretation and effect, by the laws of the State of Illinois and the United States of America, without giving effect to its principles or rules of conflict of laws.",,
121,ANTI_ASSIGNMENT,"[""A change of control shall be deemed an assignment requiring consent hereunder provided that any transfer or assignment that results in Seller's and Buyer's current common parent, Reynolds Group Holdings Limited, ceasing to control either party shall not require consent of the other party."", 'This Agreement, its rights and obligations, is not assignable or transferable by either Party, in whole or in part, except with the prior written consent of the other Party, which consent will not be unreasonably withheld, conditioned or delayed.']",,
122,GOVERNING_LAW,The provisions of this Agreement shall be governed by and construed in accordance with the laws of the State of California (excluding any conflict of law rule or principle that would refer to the laws of another jurisdiction).,,
123,LIABILITY_CAP,"IN NO EVENT SHALL LICENSOR OR ANY OF ITS DIRECTORS, OFFICERS, EMPLOYEES, LICENSORS, SUPPLIERS OR OTHER REPRESENTATIVES BE LIABLE FOR ANY INDIRECT, SPECIAL OR CONSEQUENTIAL DAMAGES, OR DAMAGES FOR LOSS OF PROFITS, BUSINESS INTERRUPTION, LOSS OF GOODWILL, COMPUTER FAILURE OR MALFUNCTION OR OTHERWISE, ARISING FROM OR RELATING TO THIS AGREEMENT OR THE LICENSED MARK, EVEN IF LICENSOR IS EXPRESSLY ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",,
124,LICENSE_GRANT,"[""Licensor hereby grants Licensed Users a nonexclusive, nontransferable, nonsublicensable, royalty-free license, during the term of this Agreement, to use and display the Licensed Trade Name and the Licensed Mark in the United States solely in connection with the Licensee's corporate name and identifying mark.""]",,
125,ANTI_ASSIGNMENT,"Licensee may not assign, transfer, pledge, mortgage or otherwise encumber this Agreement or its right to use the Brand (or assume this Agreement in bankruptcy), in whole or in part, without the prior written consent of Licensor in its sole discretion, except for an assignment outside of bankruptcy to a successor organization that is solely the result of a name change by Licensee.",,
126,LIABILITY_CAP,"[""EXCEPT WITH RESPECT TO LICENSEE'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS<omitted>INTERRUPTION AND THE LIKE) RELATING TO THIS AGREEMENT, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.""]",,
127,LICENSE_GRANT,"Subject to the terms and conditions herein, Licensor hereby grants to Licensee a non-exclusive, non- transferable, and (subject to Section 1.2 hereof) non-sublicensable license for the use of the Brand solely for the Permitted Activity.",,
128,TERMINATION,"[""This Agreement shall be terminable (a) by the Licensor<omitted>(ii) upon sixty (60) days' written notice by the Licensor to the Licensee or (b) by the Licensee<omitted>(ii) upon sixty (60) days' written notice by the Licensee to the Licensor.""]",,
129,ANTI_ASSIGNMENT,"Any purported transfer or other encumbrance without such consent shall be void ab initio.', ""This Agreement shall be terminable<omitted>(b) by the Licensee (i) at any time in the event such Licensee assigns or attempts to assign or sublicense this Agreement or any of the Licensee's rights or duties hereunder without the prior written consent of the Licensor"", 'The Licensee shall not sublicense, assign, pledge or grant as security or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent from the Licensor, which consent the Licensor may grant or withhold in its<omitted>sole and absolute discretion.",,
130,LICENSE_GRANT,"[""Subject to the terms and conditions of this Agreement, the Licensor hereby grants to the Licensee, and the Licensee hereby accepts from the Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark in the Territory solely and exclusively as a component of the Licensee's own company name and in connection with the Licensed Services and any business provided in conjunction therewith by such Licensee.""]",,
131,ANTI_ASSIGNMENT,"['Any purported transfer without such consent shall be void ab initio.', 'Licensee shall not sublicense, assign, pledge, grant or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent of the Licensor, which consent Licensor may grant or withhold in its sole and absolute discretion', ""This Agreement shall be terminable by<omitted>Licensee at any time in the event Licensee assigns or attempts to assign or sublicense this Agreement or any of Licensee's rights or duties hereunder without the prior written consent of Licensor.""]",,
132,LICENSE_GRANT,"[""Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark solely and exclusively as a component of Licensee's own corporate name and in connection with marketing the investment management, investment consultation and investment advisory services that Investment Advisor may provide to Licensee.""]",,
133,GOVERNING_LAW,"This Agreement is entered into in the State of Texas and shall be governed, interpreted and construed in accordance with the laws of the State of Texas without regard to the conflicts of laws provisions thereof.",,
134,ANTI_ASSIGNMENT,"This Agreement may not be assigned, disposed of, alienated or otherwise transferred by either Party, in whole or in part, without the prior written consent of the other Party, which consent shall not be unreasonably withheld, conditioned or delayed, except as provided below.",,
135,LIABILITY_CAP,"[""NO PARTY SHALL BE LIABLE FOR CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY OR INDIRECT DAMAGES, LOST PROFITS OR OTHER BUSINESS INTERRUPTION DAMAGES, BY STATUTE, IN TORT OR CONTRACT, OR OTHERWISE; PROVIDED, HOWEVER, THAT THIS LIMITATION SHALL NOT LIMIT A PARTY'S RIGHT TO RECOVERY HEREUNDER FOR ANY SUCH DAMAGES TO THE EXTENT SUCH PARTY IS REQUIRED TO PAY SUCH DAMAGES TO A THIRD PARTY IN CONNECTION WITH A MATTER FOR WHICH SUCH PARTY IS OTHERWISE ENTITLED TO INDEMNIFICATION HEREUNDER.""]",,
136,ANTI_ASSIGNMENT,"This Agreement may not be assigned, disposed of, alienated or otherwise transferred by either Party, in whole or in part, without the prior written consent of the other Party, which consent shall not be unreasonably withheld, conditioned or delayed, except as provided below.",,
137,LIABILITY_CAP,"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES, ANY SUCCESSORS IN INTEREST OR ANY BENEFICIARY OR ASSIGNEE OF THIS AGREEMENT FOR ANY CONSEQUENTIAL, MULTIPLE, INCIDENTAL, INDIRECT, SPECIAL, EXEMPLARY OR PUNITIVE DAMAGES, OR LOSS OF PROFITS OR REVENUES ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY BREACH HEREOF; PROVIDED, HOWEVER, THE FOREGOING SHALL NOT BE CONSTRUED AS LIMITING AN OBLIGATION OF A PARTY HEREUNDER TO INDEMNIFY, DEFEND AND HOLD HARMLESS THE OTHER PARTY AGAINST CLAIMS ASSERTED BY UNAFFILIATED THIRD PARTIES, INCLUDING, BUT NOT LIMITED TO, THIRD PARTY CLAIMS FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES.",,
138,LIABILITY_CAP,"EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",,
139,ANTI_ASSIGNMENT,"[""Neither party may assign this Agreement or any of its rights or delegate any of its duties under this Agreement without the prior written consent of the other party, not to be unreasonably withheld; except that either party may, without the other party's consent, assign this Agreement or any of its rights or delegate any of its duties under this Agreement: (a) to any corporate affiliate of such party; or (b) to any purchaser of all or substantially all of such party's assets or to any successor by way of merger, consolidation or similar transaction.""]",,
140,LIABILITY_CAP,"NEITHER PARTY WILL HAVE ANY LIABILITY FOR, AND EACH PARTY HEREBY WAIVES AND DISCLAIMS, ANY AND ALL CLAIMS AND CAUSES OF ACTION AGAINST THE OTHER PARTY, WHETHER IN CONTRACT, TORT (INCLUDING, WITHOUT LIMITATION, NEGLIGENCE AND STRICT LIABILITY), WARRANTY OR OTHERWISE, RELATING TO ANY INDIRECT, CONSEQUENTIAL OR EXEMPLARY DAMAGES, IN EACH CASE, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT (INCLUDING ANY BREACH HEREOF) OR ANY OF THE TRANSACTIONS CONTEMPLATED HEREBY.",,
141,ANTI_ASSIGNMENT,"Notwithstanding the foregoing, either party shall be permitted to assign this Agreement and any of its rights and obligations hereunder to an affiliate or related company or to a purchaser of all or substantially all of its Internet business, without obtaining the prior written consent of the other party.', 'Except as provided in this Section, neither Party may assign its rights or obligations under this Agreement without the prior written consent of the other Party, which shall not be unreasonably withheld.",,
142,LIABILITY_CAP,"EXCEPT WITH RESPECT TO THE INDEMNITY OBLIGATIONS IN SECTION 14, THE CONFIDENTIALITY OBLIGATIONS UNDER SECTION 16, AND THE YEAR 2000 COMPLIANCE OBLIGATIONS UNDER SECTION 20, NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THIS AGREEMENT, UNDER NO CIRCUMSTANCES SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY WITH RESPECT TO THE SUBJECT MATTER OF THIS AGREEMENT UNDER ANY CONTRACT, NEGLIGENCE,\n\n 10\n\nSTRICT LIABILITY, TORT OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR EXEMPLARY DAMAGES (INCLUDING, WITHOUT LIMITATION, LOSS OF REVENUE OR GOODWILL OR ANTICIPATED PROFITS OR LOST BUSINESS), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",,
143,ANTI_ASSIGNMENT,"[""Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other to an Affiliate of such party, or to the surviving party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.""]",,
144,LICENSE_GRANT,"['Impresse hereby grants to VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the Impresse Area of the Co-Branded Site.', ""Impresse shall permit Users who access the Co-Branded Site to access and use Co-Branded Content from the Co-Branded Site for the personal use of such Users in accordance with the then-current terms of Impresse's standard license agreement governing the use of such Co-Branded Content.""]",,
145,GOVERNING_LAW,"This Agreement will be governed by the laws of the state where a suit is properly filed under the terms of this paragraph, being either Illinois or New York, and without giving effect to conflict of law principles.",,
146,ANTI_ASSIGNMENT,"Neither party may assign the Agreement without the written consent of the other party, which consent shall not be unreasonably withheld or delayed, except that either party may assign the Agreement without obtaining the consent of the other party to an affiliate or successor by way of purchase, merger, consolidation or similar transaction, subject to the requirement that the Agreement shall be binding and enforceable against any successor or assign.",,
147,LIABILITY_CAP,"NEITHER PARTY SHALL HAVE ANY LIABILITY FOR ANY INDIRECT, SPECIAL, PUNITIVE OR CONSEQUENTIAL DAMAGES INCLUDING, WITHOUT THE LIMITATION, LOSS OF PROFIT OR BUSINESS OPPORTUNITIES, WHETHER OR NOT THE PARTY WAS ADVISED OF THE POSSIBILTY OF SUCH.",,
148,LICENSE_GRANT,"Subject to the terms and conditions of this Agreement, ebix hereby grants to About a limited, non-transferable, fully-paid, worldwide, non-exclusive right and license to use, reproduce, adapt (but only to pursuant to its rights under this Agreement), incorporate, integrate and distribute the ebix Marks and ebix Content, during the Term, solely as necessary to perform its obligations under this Agreement.",,
149,GOVERNING_LAW,"The Agreement will be governed by and construed in accordance with the laws of the State of California, notwithstanding the actual state or country of residence or incorporation of Application Provider.",,
150,ANTI_ASSIGNMENT,"['Any attempt to assign this Agreement other than as permitted above will be null and void.', ""Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably withheld), except that no such consent will be required in connection with a merger, reorganization or sale of all, or substantially all, of such party's assets or capital stock.""]",,
151,LIABILITY_CAP,"[""Except as provided by Sections 19(a)(iii)(2), (a)(iii)(3), (b)(iii)(2) and (b)(iii)(3):\n\n a) Neither party will have liability for any damages other than direct damages. In no event will either party be liable to the other for any special, incidental or consequential damages, whether based on breach of contract, tort (including negligence) or otherwise, whether or not that party has been advised of the possibility of such damage.\n\n b) Either party's liability for damages shall be limited to the amounts actually paid by the other party.""]",,
152,ANTI_ASSIGNMENT,"[""Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party,<omitted>which consent may be withheld at the other Party's reasonable business discretion; provided, however, that VerticalNet may transfer this Agreement without the prior written consent of LeadersOnline to an Affiliate of VerticalNet, or to the surviving Party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.""]",,
153,ANTI_ASSIGNMENT,"[""Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party's reasonable business discretion; provided, however, that either Party may transfer this Agreement without prior written consent of the other Party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such Party.""]",,
154,LIABILITY_CAP,"['Except for claims under Sections 15.4 [INDEMNIFICATION BY NEOFORMA] and 15.5 [INDEMNIFICATION BY VERTICALNET] hereof, neither Party may bring a claim or action regardless of form, arising out of or related to this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or<omitted>becomes known, whichever is later.', ""EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 13, THE INDEMNIFICATION OBLIGATIONS OF NEOFORMA UNDER SECTION 15.4(c) [INDEMNIFICATION BY NEOFORMA] AND (d) AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 15.5(c) [INDEMNIFICATION BY VERTICALNET] AND (d), EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER SHALL NOT EXCEED $1,000,000.""]",,
155,ANTI_ASSIGNMENT,"[""Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such party.""]",,
156,GOVERNING_LAW,"This Agreement and any action<omitted>related thereto shall be governed, controlled, interpreted and defined by and under the laws of the State of California and the United States, without regard to the conflicts of laws provisions thereof.",,
157,TERMINATION,"SpinRecords.com may terminate this Agreement for no reason or for any reason upon sixty (60) days prior written notice to NETTAXI.', 'NETTAXI may terminate this Agreement at any time for<omitted>its convenience, for no reason or for any reason, upon sixty (60) days prior written notice to SpinRecords.com.",,
158,ANTI_ASSIGNMENT,"[""Neither NETTAXI or SpinRecords.com shall assign its ---------- respective rights or delegate its obligations hereunder, either in whole or in part, whether by operation of law or otherwise, without the prior written consent of the other party. Any attempted assignment or delegation without the other party's written consent will be void.""]",,
159,LIABILITY_CAP,"EXCEPT AS SET FORTH IN SECTION 6 AND 7.1, ------------------------ UNDER NO CIRCUMSTANCES WILL EITHER PARTY BE LIABLE TO THE OTHER UNDER ANY CONTRACT, STRICT LIABILITY, NEGLIGENCE OR OTHER LEGAL OR EQUITABLE THEORY, FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS IN CONNECTION WITH THE SUBJECT MATTER OF THIS AGREEMENT.",,
160,LICENSE_GRANT,"SpinRecords.com hereby ------------------------------------------- grants NETTAXI a nonexclusive, worldwide, nontransferable, revocable, royalty free license to display and distribute the, and make derivative works from the SpinRecords.com Brand Features and any enhancements, modifications or improvements thereto as necessary to carry out the terms of this Agreement.', 'NETTAXI hereby grants to ----------------------------------------- SpinRecords.com a non-exclusive, worldwide, nontransferable, revocable, royalty free license to use the NETTAXI Brand Features as the same may be modified from time to time for the purposes of this Agreement",,
161,ANTI_ASSIGNMENT,"Either party may assign or otherwise transfer all or part of this Agreement to any of its Affiliates, and for as long as it remains an Affiliate; provided that no such assignment shall relieve a party of any of its obligations under this Agreement.', 'This Agreement may be assigned or otherwise transferred, by operation of law or otherwise without the express written consent of PlanetCAD and Dassault Systemes, but in such event the assigning Party shall give notice to the non-assigning Party and the non-assigning Party shall have the right to terminate this Agreement within the 30-day period following receipt of such notice.",,
