id,src_legal,tgt_plain
747,"If any provision of this Agreement is determined to be invalid or unenforceable, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and the remaining provisions shall remain in full force and effect.",You cannot transfer this contract to someone else without written permission.
748,"Where a party fails to perform its obligations as required, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, without prejudice to any other remedy available at law or in equity.",Both sides agree that deadlines in the contract really matter.
749,"If any provision of this Agreement is determined to be invalid or unenforceable, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, and the remaining provisions shall remain in full force and effect.",The employee must follow the employer's rules and policies.
750,"Notwithstanding any other term contained herein, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, unless otherwise agreed to in a subsequent written amendment.",The customer has thirty days to pay a correct bill in full.
751,"The parties hereby agree that interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and this provision shall be binding upon all successors and assigns.",Late payments will collect interest up to the legal limit.
752,"Where a party fails to perform its obligations as required, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, without prejudice to any other remedy available at law or in equity.",The contractor has to get any licenses or permits needed to do the work.
753,"The obligations set forth in this section shall survive termination of this Agreement, and the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct.",The damage limits do not apply if someone acts with gross negligence or on purpose.
754,"Where a party fails to perform its obligations as required, the data subject shall have the right to access, correct, or delete personal data processed by the controller, without prejudice to any other remedy available at law or in equity.",The person whose data is used can see it and ask to correct or delete it.
755,"The parties hereby agree that the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and this provision shall be binding upon all successors and assigns.",The tenant needs the landlord's written permission before changing the structure of the space.
756,"To the fullest extent permitted by law, the insurance coverage required under this Agreement shall name the other party as an additional insured, and the limitations of liability specified in this section shall apply.",The required insurance must list the other party as also being covered.
757,"Notwithstanding any other term contained herein, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, unless otherwise agreed to in a subsequent written amendment.",The company can choose to end the contract for any reason with thirty days' written notice.
758,"The obligations set forth in this section shall survive termination of this Agreement, and the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement.",Both sides must try to reduce the harm caused by a breach.
759,"Except as otherwise expressly provided in this Agreement, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and each party shall bear its own costs and expenses.",Any dispute about this contract will be decided by arbitration instead of a regular court.
760,"Except as otherwise expressly provided in this Agreement, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and each party shall bear its own costs and expenses.",The shareholder lets the company vote their shares as promised in the agreement.
761,"If any provision of this Agreement is determined to be invalid or unenforceable, the nonbreaching party may seek specific performance or injunctive relief, and the remaining provisions shall remain in full force and effect.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
762,"Subject to applicable law and regulatory requirements, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Each side must keep shared confidential information private.
763,"Subject to applicable law and regulatory requirements, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Agreeing to ignore one violation does not mean future violations are forgiven.
764,"Except as otherwise expressly provided in this Agreement, the party in default shall be afforded a reasonable opportunity to cure such default, and each party shall bear its own costs and expenses.",The side that made a mistake gets a fair chance to fix the problem.
765,"The parties hereby agree that all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and this provision shall be binding upon all successors and assigns.",All required notices must be written and sent by certified mail or a well-known delivery service.
766,"For the avoidance of doubt, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and no party shall rely on any oral representation to the contrary.",New York law controls how this contract is read and enforced.
767,"The obligations set forth in this section shall survive termination of this Agreement, and any assignment of this Agreement without the prior written consent of the other party shall be null and void.",You cannot transfer this contract to someone else without written permission.
768,"For the avoidance of doubt, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and no party shall rely on any oral representation to the contrary.",Both sides agree that deadlines in the contract really matter.
769,"Where a party fails to perform its obligations as required, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, without prejudice to any other remedy available at law or in equity.",The employee must follow the employer's rules and policies.
770,"The parties hereby agree that the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, and this provision shall be binding upon all successors and assigns.",The customer has thirty days to pay a correct bill in full.
771,"Notwithstanding any other term contained herein, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, unless otherwise agreed to in a subsequent written amendment.",Late payments will collect interest up to the legal limit.
772,"The parties hereby agree that the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and this provision shall be binding upon all successors and assigns.",The contractor has to get any licenses or permits needed to do the work.
773,"For the avoidance of doubt, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and no party shall rely on any oral representation to the contrary.",The damage limits do not apply if someone acts with gross negligence or on purpose.
774,"The obligations set forth in this section shall survive termination of this Agreement, and the data subject shall have the right to access, correct, or delete personal data processed by the controller.",The person whose data is used can see it and ask to correct or delete it.
775,"Subject to applicable law and regulatory requirements, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The tenant needs the landlord's written permission before changing the structure of the space.
776,"The parties hereby agree that the insurance coverage required under this Agreement shall name the other party as an additional insured, and this provision shall be binding upon all successors and assigns.",The required insurance must list the other party as also being covered.
777,"The obligations set forth in this section shall survive termination of this Agreement, and the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice.",The company can choose to end the contract for any reason with thirty days' written notice.
778,"Subject to applicable law and regulatory requirements, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Both sides must try to reduce the harm caused by a breach.
779,"Notwithstanding any other term contained herein, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, unless otherwise agreed to in a subsequent written amendment.",Any dispute about this contract will be decided by arbitration instead of a regular court.
780,"The parties hereby agree that the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and this provision shall be binding upon all successors and assigns.",The shareholder lets the company vote their shares as promised in the agreement.
781,"If any provision of this Agreement is determined to be invalid or unenforceable, the nonbreaching party may seek specific performance or injunctive relief, and the remaining provisions shall remain in full force and effect.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
782,"Subject to applicable law and regulatory requirements, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Each side must keep shared confidential information private.
783,"In the event of a dispute arising under this Agreement, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and such dispute shall be resolved in accordance with the procedures set forth herein.",Agreeing to ignore one violation does not mean future violations are forgiven.
784,"The obligations set forth in this section shall survive termination of this Agreement, and the party in default shall be afforded a reasonable opportunity to cure such default.",The side that made a mistake gets a fair chance to fix the problem.
785,"For the avoidance of doubt, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and no party shall rely on any oral representation to the contrary.",All required notices must be written and sent by certified mail or a well-known delivery service.
786,"The parties hereby agree that the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and this provision shall be binding upon all successors and assigns.",New York law controls how this contract is read and enforced.
787,"In the event of a dispute arising under this Agreement, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and such dispute shall be resolved in accordance with the procedures set forth herein.",You cannot transfer this contract to someone else without written permission.
788,"To the fullest extent permitted by law, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and the limitations of liability specified in this section shall apply.",Both sides agree that deadlines in the contract really matter.
789,"Where a party fails to perform its obligations as required, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, without prejudice to any other remedy available at law or in equity.",The employee must follow the employer's rules and policies.
790,"The obligations set forth in this section shall survive termination of this Agreement, and the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice.",The customer has thirty days to pay a correct bill in full.
791,"Except as otherwise expressly provided in this Agreement, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and each party shall bear its own costs and expenses.",Late payments will collect interest up to the legal limit.
792,"For the avoidance of doubt, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and no party shall rely on any oral representation to the contrary.",The contractor has to get any licenses or permits needed to do the work.
793,"In the event of a dispute arising under this Agreement, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and such dispute shall be resolved in accordance with the procedures set forth herein.",The damage limits do not apply if someone acts with gross negligence or on purpose.
794,"Notwithstanding any other term contained herein, the data subject shall have the right to access, correct, or delete personal data processed by the controller, unless otherwise agreed to in a subsequent written amendment.",The person whose data is used can see it and ask to correct or delete it.
795,"Except as otherwise expressly provided in this Agreement, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and each party shall bear its own costs and expenses.",The tenant needs the landlord's written permission before changing the structure of the space.
796,"For the avoidance of doubt, the insurance coverage required under this Agreement shall name the other party as an additional insured, and no party shall rely on any oral representation to the contrary.",The required insurance must list the other party as also being covered.
797,"For the avoidance of doubt, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, and no party shall rely on any oral representation to the contrary.",The company can choose to end the contract for any reason with thirty days' written notice.
798,"If any provision of this Agreement is determined to be invalid or unenforceable, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the remaining provisions shall remain in full force and effect.",Both sides must try to reduce the harm caused by a breach.
799,"The parties hereby agree that any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and this provision shall be binding upon all successors and assigns.",Any dispute about this contract will be decided by arbitration instead of a regular court.
800,"Where a party fails to perform its obligations as required, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, without prejudice to any other remedy available at law or in equity.",The shareholder lets the company vote their shares as promised in the agreement.
